Hastalik_Sinifi,Precision,Recall,F1_Score,AUC_ROC,Ortalama_Score
Hernia,0.88,0.89,0.88,0.905,0.883
Cardiomegaly,0.87,0.88,0.87,0.901,0.873
Effusion,0.85,0.86,0.85,0.889,0.853
Consolidation,0.84,0.84,0.84,0.881,0.84
Pneumonia,0.82,0.83,0.82,0.876,0.823
Mass,0.83,0.83,0.83,0.872,0.83
Nodule,0.81,0.82,0.82,0.864,0.817
Infiltration,0.79,0.8,0.79,0.856,0.793
Atelectasis,0.8,0.81,0.8,0.848,0.803
Pleural_Thickening,0.78,0.79,0.78,0.841,0.783
Pneumothorax,0.76,0.77,0.76,0.834,0.763
Edema,0.75,0.76,0.75,0.821,0.753
Fibrosis,0.73,0.74,0.73,0.815,0.733
Emphysema,0.71,0.72,0.71,0.798,0.713
